Designator,Mid X,Mid Y,Rotation,Layer
AE1,151.17,-108.4076,90.0,top
BZ1,149.86,-95.54,180.0,bottom
C1,146.4,-105.99,0.0,top
C10,145.0,-113.27,270.0,top
C11,145.92,-113.27,270.0,top
C12,154.25,-93.86,0.0,top
C13,154.25,-94.7725,0.0,top
C14,146.4,-95.86,0.0,top
C15,146.4,-96.78,0.0,top
C16,146.4,-97.71,0.0,top
C17,146.4,-98.63,0.0,top
C18,131.455,-120.31,180.0,top
C19,129.55,-113.57,270.0,top
C2,144.08,-113.27,270.0,top
C20,154.25,-95.69,0.0,top
C21,126.59,-99.995,270.0,top
C22,127.9,-99.7,270.0,top
C23,134.56,-99.995,270.0,top
C24,133.22,-99.7,270.0,top
C25,126.6,-104.3625,270.0,top
C26,127.91,-104.0675,270.0,top
C27,134.57,-104.3625,270.0,top
C28,133.23,-104.0675,270.0,top
C29,151.33,-87.53,0.0,top
C3,143.16,-113.27,270.0,top
C30,151.33,-88.45,0.0,top
C31,153.81,-89.49,0.0,top
C32,153.81,-90.41,0.0,top
C33,153.81,-91.33,0.0,top
C34,146.4,-103.23,0.0,top
C36,146.4,-108.09,0.0,top
C37,146.4,-109.01,0.0,top
C38,154.25,-92.94,0.0,top
C39,149.38,-93.77,180.0,top
C4,142.24,-113.27,270.0,top
C40,139.23,-104.82,270.0,bottom
C41,140.15,-104.82,270.0,bottom
C42,135.49,-106.45,0.0,bottom
C43,135.49,-107.37,0.0,bottom
C44,134.3,-91.62,270.0,top
C45,134.38,-88.79,0.0,top
C46,136.76,-94.54,0.0,top
C47,138.58,-95.46,0.0,top
C48,134.78,-86.22,270.0,top
C49,139.36,-87.18,90.0,top
C5,141.32,-113.27,270.0,top
C50,137.99,-85.79,0.0,top
C6,140.4,-113.27,270.0,top
C7,139.48,-113.27,270.0,top
C8,138.56,-113.27,270.0,top
C9,137.6435,-113.27,270.0,top
D2,132.85,-118.35,180.0,top
J1,132.86,-118.705,0.0,bottom
J2,130.3525,-88.44,270.0,bottom
J3,147.87,-119.9725,0.0,bottom
Q1,127.75,-102.9975,90.0,bottom
Q2,131.65,-102.9975,270.0,bottom
Q3,150.54,-98.23,180.0,top
R1,146.4,-109.93,180.0,top
R10,129.2,-112.32,90.0,bottom
R11,127.28,-100.6,0.0,bottom
R12,129.18,-100.6,180.0,bottom
R13,146.4,-100.47,0.0,top
R14,146.4,-101.39,0.0,top
R15,141.41,-93.51,90.0,top
R16,134.245,-120.31,0.0,top
R17,127.02,-109.705,270.0,top
R18,152.43,-96.61,0.0,top
R19,154.25,-96.61,0.0,top
R2,146.4,-106.91,180.0,top
R20,146.4,-104.15,180.0,top
R21,146.4,-105.07,0.0,top
R22,146.4,-102.31,180.0,top
R23,135.94,-108.74,270.0,bottom
R24,135.02,-108.74,270.0,bottom
R25,132.94,-86.22,270.0,top
R27,132.49,-88.81,0.0,top
R28,146.4,-99.55,0.0,top
R29,148.14,-97.76,90.0,top
R3,130.47,-113.57,90.0,top
R30,132.49,-87.87,0.0,top
R31,132.49,-90.65,180.0,top
R32,132.49,-89.73,180.0,top
R33,132.49,-91.57,180.0,top
R34,136.76,-95.46,0.0,top
R35,135.39,-95.01,270.0,top
R36,137.66,-93.62,0.0,top
R37,138.58,-94.54,0.0,top
R38,134.38,-87.86,0.0,top
R39,136.62,-87.18,270.0,top
R4,130.74,-118.01,90.0,top
R40,135.7,-86.22,270.0,top
R41,137.99,-87.63,0.0,top
R42,137.99,-86.71,0.0,top
R43,140.89,-89.22,180.0,top
R45,140.89,-91.06,0.0,top
R5,134.95,-118.01,90.0,top
R6,132.96,-112.32,270.0,bottom
R7,130.2,-112.32,270.0,bottom
R8,131.12,-112.32,270.0,bottom
R9,132.04,-112.32,90.0,bottom
S1,140.38,-99.7,0.0,top
U1,140.3935,-107.68,180.0,top
U10,139.85,-85.805,0.0,top
U13,137.51,-90.64,0.0,top
U15,130.57,-104.5375,180.0,top
U2,129.2,-108.31,90.0,bottom
U3,151.7925,-94.2725,90.0,top
U4,144.62,-90.9975,180.0,top
U5,130.56,-100.17,180.0,top
U6,131.19,-109.86,0.0,top
U7,151.6,-90.16,90.0,top
U8,150.63,-85.805,0.0,top
U9,145.24,-85.805,0.0,top
